Number,Title,Color,Fit Type,Waist Line,Length,Fabric,Pattern,Sleeve Type,Neckline,Chest Pad,Lining,Pocket,Occasion,Clothing Detail,Pant Leg Style,Image URL,Product URL
34,Knit Wool-blend Asymmetrical Button Up Oversized Long Sleeve Sweater,Green,Oversized,,Regular,52% Polyester 31% Acrylic 10% Polyamide 4% Wool 3% Elastane,Solid,,Round Neckline,,,,Daily Casual,Button,,https://img1.shopcider.com/product/1729679520000-YJHrtM.jpg,https://www.shopcider.com/goods/knit-wool-blend-button-up-oversized-long-sleeve-top-113988214?style_id=2068931&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=113988214&shopPage=11&shopIndex=62&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B62&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=63&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNy45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzI5Njc5NTIwMDAwLVlKSHJ0TS5qcGciLCJzcHUiOjExMzk4ODIxNCwic3B1Q29kZSI6IkNEMjAyNDA4MDU1MjU2MzJLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
35,Knit Wool-blend V-neck Button Oversized Cardigan,Pink ,Oversized,,,73% Polyester 10% Acrylic 10% Polyamide 5% Wool 2% Elastane,,,V-neck,,,,Daily Casual,Button,,https://img1.shopcider.com/product/1760179496000-BYwbPM.jpg,https://www.shopcider.com/goods/knit-wool-blend-v-neck-button-oversized-cardigan-114982576?style_id=2213548&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114982576&shopPage=11&shopIndex=63&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B63&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=64&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNy45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzYwMTc5NDk2MDAwLUJZd2JQTS5qcGciLCJzcHUiOjExNDk4MjU3Niwic3B1Q29kZSI6IkNEMjAyNTA1MTY2MTcxNzZDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
36,Knit Collar Contrasting Binding Long Sleeve Top,White,Regular,,Regular,100% Acrylic,Solid,,Collar,,,,Daily Casual Work,Contrasting Binding,,https://img1.shopcider.com/product/1750686663000-cX63Z2.jpg,https://www.shopcider.com/goods/knit-collar-contrasting-binding-long-sleeve-top-114704674?style_id=2173525&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114704674&shopPage=11&shopIndex=64&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B64&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=65&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoyOS45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzUwNjg2NjYzMDAwLWNYNjNaMi5qcGciLCJzcHUiOjExNDcwNDY3NCwic3B1Q29kZSI6IkNEMjAyNTA0MjM2MTMwMTJLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
37,Wool-blend Collar Zipper Long Sleeve Top,Black ,Regular,,Regular,75% recycled polyester 18% Polyamide 6% Wool 1% Elastane,Solid,,Collar,,,,Work,Zipper,,https://img1.shopcider.com/product/1732023499000-Zwsdpk.jpg,https://www.shopcider.com/goods/wool-blend-collar-zipper-long-sleeve-top-114023672?style_id=2097365&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114023672&shopPage=11&shopIndex=65&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B65&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=66&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozOS45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzMyMDIzNDk5MDAwLVp3c2Rway5qcGciLCJzcHUiOjExNDAyMzY3Miwic3B1Q29kZSI6IkNEMjAyNDA5MDY1NDYzOTlLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
38,Knit Square Neck Long Sleeve Button Top With Belt,Burgundy,Regular,,Regular,45% Viscose 28% Polyester 27% Polyamide,Solid,,Square Neck,,,,Daily Casual,Button,,https://img1.shopcider.com/product/1757677380000-8aAjX8.jpg,https://www.shopcider.com/goods/knit-square-neck-long-sleeve-button-top-with-belt-114996067?style_id=2217468&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114996067&shopPage=11&shopIndex=68&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B68&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=69&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4iuWNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xEX1NUQVJUXzJORF9TVEFHRSxDT0xMRUNUSU9OX09GRkxJTkUiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoyOS45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzYwMTY4ODQwMDAwLXhTS1RyRy5qcGciLCJzcHUiOjExNDk5NjA2Nywic3B1Q29kZSI6IkNEMjAyNTA3MDE2MjY4NjZLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
39,Knit V-neck Long Sleeve Ruffle Hem Top,Burgundy,Regular,,Regular,42% Viscose 30% Polyamide 28% Polyester,Solid,,V-neck,,,,Work,Ruffle Hem,,https://img1.shopcider.com/product/1758707688000-5j2Jyx.jpg,https://www.shopcider.com/goods/knit-v-neck-long-sleeve-ruffle-hem-top-114944686?style_id=2208053&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114944686&shopPage=11&shopIndex=70&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B70&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=71&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xEX1NUQVJUXzJORF9TVEFHRSxDT0xMRUNUSU9OX09GRkxJTkUiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNy45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzU4NzA3Njg4MDAwLTVqMkp5eC5qcGciLCJzcHUiOjExNDk0NDY4Niwic3B1Q29kZSI6IkNEMjAyNTA4MDc2MzYzOTJLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
40,Multi-way Cable Knit Boat Neck Metal Detail Cardigan,Navy,Regular,,,30% Polyester 25% Acrylic 24% Polyamide 21% Viscose,Solid,,Boat Neck,,,,Daily Casual,Asymmetrical Button,,https://img1.shopcider.com/product/1758114402000-4kijEd.jpg,https://www.shopcider.com/goods/multi-way-cable-knit-boat-neck-metal-detail-cardigan-114908257?style_id=2204219&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114908257&shopPage=11&shopIndex=72&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B72&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=73&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNy45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzU4MTE0NDAyMDAwLTRraWpFZC5qcGciLCJzcHUiOjExNDkwODI1Nywic3B1Q29kZSI6IkNEMjAyNTA2MTI2MjIzMjNDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
41,Knit Collar Long Sleeve Button Top,Burgundy,Regular,,Regular,60% Polyester 40% Viscose,Solid,,Collar,,,,Work,Button,,https://img1.shopcider.com/product/1758199139000-NryZAS.jpg,https://www.shopcider.com/goods/knit-collar-long-sleeve-button-top-114959454?style_id=2211256&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114959454&shopPage=11&shopIndex=73&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B73&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=74&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xEX1NUQVJUXzJORF9TVEFHRSxDT0xMRUNUSU9OX09GRkxJTkUiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoyOS45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzU4MTk5MTM5MDAwLU5yeVpBUy5qcGciLCJzcHUiOjExNDk1OTQ1NCwic3B1Q29kZSI6IkNEMjAyNTA4MDc2MzY0NjFLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
42,Knit Boat Neck Stripe Cardigan,Black ,Regular,,,50% Viscose 29% Polyester 21% Polyamide,Stripes,,Boat Neck,,,,Work,,,https://img1.shopcider.com/product/1730288814000-7KREbR.jpg,https://www.shopcider.com/goods/knit-boat-neck-stripe-cardigan-114028982?style_id=2074432&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114028982&shopPage=11&shopIndex=74&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B74&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=75&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozMi45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzMwMjg4ODE0MDAwLTdLUkViUi5qcGciLCJzcHUiOjExNDAyODk4Miwic3B1Q29kZSI6IkNEMjAyNDEwMTA1NjMyMDFDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
43,Knit High Neck Solid Long Sleeve Sweater,Pink ,Regular,,Regular,74% Acrylic 22% Polyester 4% spandex,,,,,,,School Daily Casual,,,https://img1.shopcider.com/product/1726224639000-YnaJFx.jpg,https://www.shopcider.com/goods/solid-knitted-long-sleeve-top-113055801?style_id=2039225&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=113055801&shopPage=11&shopIndex=76&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B76&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=77&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozNy45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzI2MjI0NjM5MDAwLVluYUpGeC5qcGciLCJzcHUiOjExMzA1NTgwMSwic3B1Q29kZSI6IkNEMjAyNDA3MTA1MTAwMjBLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDQ0MTE1Ny1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiOTQxMDQxYjUtZjNhMy00MzY1LWFjZTUtZTExNDg1MWMyMDc0In0%3D&activityId=10282&activity_id=10282
44,Wool-blend Stripe Ombre Sweater,Orange ,Regular,,Regular,59% recycled polyester 16% Polyester 16% nylon 8% Wool 1% spandex,Solid,,Round Neckline,,,,School Daily Casual Picnic Coffee Shop,,,https://img1.shopcider.com/product/1698070101000-8QxGKk.jpg,https://www.shopcider.com/goods/wool-blend-stripe-ombre-sweater-103044653?style_id=1159398&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=103044653&shopPage=11&shopIndex=79&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B79&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=80&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6IuaooeaLjeWkp%20eJh%20WbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QiLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6ZmFsc2UsInNhbGVQcmljZSI6MzcuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTcwMTg2MTU0MTAwMC1renhHYlQuanBnIiwic3B1IjoxMDMwNDQ2NTMsInNwdUNvZGUiOiJDRDIwMjMwODI1MzcyODYxS1MiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzQ0NDExNTctcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyOTYyNzpDb250cm9sIiwidHJhY2tpbmdJZCI6Ijk0MTA0MWI1LWYzYTMtNDM2NS1hY2U1LWUxMTQ4NTFjMjA3NCJ9&activityId=10282&activity_id=10282
